Unnamed: 0;lat;long;bm_dens;bm_size;bm_dead
5084;56.95130957;8.943549;0;0;0
5085;56.9513006;8.943549;0;0;0
5086;56.95129162;8.943549;0;0;0
5087;56.95128265;8.943549;0;0;0
5088;56.95127367;8.943549;0;0;0
5089;56.95126469;8.943549;0;0;0
5090;56.95125572;8.943549;0;0;0
5091;56.95124674;8.943549;0;0;0
5092;56.95123777;8.943549;0;0;0
5093;56.95122879;8.943549;0;0;0
5094;56.95121982;8.943549;0;0;0
5095;56.95121084;8.943549;0;0;0
5096;56.95120186;8.943549;0;0;0
5097;56.95119289;8.943549;0;0;0
5098;56.95118391;8.943549;0;0;0
5099;56.95117494;8.943549;0;0;0
5100;56.95116596;8.943549;0;0;0
5101;56.95115699;8.943549;0;0;0
5102;56.95114801;8.943549;0;0;0
5103;56.95113903;8.943549;0;0;0
5104;56.95113006;8.943549;0;0;0
5105;56.95112108;8.943549;0;0;0
5106;56.95111211;8.943549;0;0;0
5107;56.95110313;8.943549;0;0;0
5108;56.95109416;8.943549;0;0;0
5109;56.95108518;8.943549;0;0;0
5110;56.9510762;8.943549;0;0;0
5111;56.95106723;8.943549;0;0;0
5112;56.95105825;8.943549;0;0;0
5113;56.95104928;8.943549;0;0;0
5114;56.9510403;8.943549;0;0;0
5115;56.95103133;8.943549;0;0;0
5116;56.95102235;8.943549;0;0;0
5117;56.95101337;8.943549;0;0;0
5118;56.9510044;8.943549;0;0;0
5119;56.95099542;8.943549;0;0;0
5120;56.95098645;8.943549;0;0;0
5121;56.95097747;8.943549;0;0;0
5122;56.9509685;8.943549;0;0;0
5123;56.95095952;8.943549;0;0;0
5124;56.95095054;8.943549;0;0;0
5125;56.95094157;8.943549;0;0;0
5126;56.95093259;8.943549;0;0;0
5127;56.95092362;8.943549;0;0;0
5128;56.95091464;8.943549;0;0;0
5129;56.95090567;8.943549;0;0;0
5130;56.95089669;8.943549;0;0;0
5131;56.95088772;8.943549;0;0;0
5132;56.95087874;8.943549;0;0;0
5133;56.95086976;8.943549;0;0;0
5134;56.95086079;8.943549;0;0;0
5135;56.95085181;8.943549;0;0;0
